scaler,method,k,n_components,n_neighbors,min_dist,metric,bic,aic,silhouette,calinski_harabasz,davies_bouldin
Quantile (uniform),GMM,2,3,8,0.01,correlation,38926.164087582394,38816.984375,0.31495752930641174,945.2881469726562,1.4647844703326665
Quantile (uniform),KMeans,2,3,8,0.01,correlation,,,0.286764919757843,930.5626831054688,1.4837228597972614
Quantile (uniform),GMM,3,3,8,0.01,correlation,37804.12709420471,37637.484375,0.3715304732322693,1310.5130615234375,1.0309868984712471
Quantile (uniform),KMeans,3,3,8,0.01,correlation,,,0.3720650374889374,1326.9576416015625,1.0395810374493868
Quantile (uniform),GMM,4,3,8,0.01,correlation,36428.21510082702,36204.109375,0.4604979455471039,1855.4747314453125,0.8140297076089216
Quantile (uniform),KMeans,4,3,8,0.01,correlation,,,0.4674013555049896,1938.2735595703125,0.7937763762054919
Quantile (uniform),GMM,5,3,8,0.01,correlation,35855.52966994934,35573.9609375,0.3911779820919037,1505.4461669921875,1.046699270760508
Quantile (uniform),KMeans,5,3,8,0.01,correlation,,,0.4401249587535858,1828.550048828125,0.8951646712721686
Quantile (uniform),GMM,6,3,8,0.01,correlation,35664.98095782165,35325.94921875,0.3473403751850128,1394.9189453125,1.1265671385844385
Quantile (uniform),KMeans,6,3,8,0.01,correlation,,,0.39070814847946167,1638.7161865234375,1.0158872032246653
Quantile (uniform),GMM,7,3,8,0.01,correlation,34509.65099569397,34113.15625,0.40834909677505493,1449.3380126953125,0.9248096644793194
Quantile (uniform),KMeans,7,3,8,0.01,correlation,,,0.430681973695755,1701.6514892578125,0.8665568644102498
Quantile (uniform),GMM,2,3,8,0.01,euclidean,39173.460962582394,39064.28125,0.33933258056640625,1179.6202392578125,1.2401624072638346
Quantile (uniform),KMeans,2,3,8,0.01,euclidean,,,0.35341063141822815,1364.207763671875,1.221730458690271
Quantile (uniform),GMM,3,3,8,0.01,euclidean,37517.45131295471,37350.80859375,0.4170309901237488,1601.3330078125,0.9025043367697035
Quantile (uniform),KMeans,3,3,8,0.01,euclidean,,,0.4300391972064972,1694.5230712890625,0.8960360558209994
Quantile (uniform),GMM,4,3,8,0.01,euclidean,37090.40260082702,36866.296875,0.3832106292247772,1286.7618408203125,0.965450630008339
Quantile (uniform),KMeans,4,3,8,0.01,euclidean,,,0.39369913935661316,1364.638916015625,0.9615138793592681
Quantile (uniform),GMM,5,3,8,0.01,euclidean,36708.66638869934,36427.09765625,0.3951877951622009,1580.608154296875,0.8989987981083324
Quantile (uniform),KMeans,5,3,8,0.01,euclidean,,,0.4182318449020386,1733.66015625,0.8818471396042755
Quantile (uniform),GMM,6,3,8,0.01,euclidean,35351.16455157165,35012.1328125,0.35875630378723145,1065.92724609375,1.4778485213767079
Quantile (uniform),KMeans,6,3,8,0.01,euclidean,,,0.40247517824172974,1547.36962890625,1.0896772926794391
Quantile (uniform),GMM,7,3,8,0.01,euclidean,35381.50255819397,34985.0078125,0.4200758635997772,1654.9315185546875,1.0278450828392918
Quantile (uniform),KMeans,7,3,8,0.01,euclidean,,,0.42061665654182434,1695.13623046875,0.9759429958441661
