scaler,method,k,n_components,n_neighbors,min_dist,metric,bic,aic,silhouette,calinski_harabasz,davies_bouldin
Quantile (uniform),GMM,2,3,8,0.01,correlation,39363.554712582394,39254.375,0.3026273548603058,912.0744018554688,1.5108458637082147
Quantile (uniform),KMeans,2,3,8,0.01,correlation,,,0.29831647872924805,916.0043334960938,1.5097968184645925
Quantile (uniform),GMM,3,3,8,0.01,correlation,38277.29115670471,38110.6484375,0.3590245544910431,1142.3099365234375,1.063918532114623
Quantile (uniform),KMeans,3,3,8,0.01,correlation,,,0.38117191195487976,1305.588134765625,1.0171450611622703
Quantile (uniform),GMM,4,3,8,0.01,correlation,37906.52369457702,37682.41796875,0.44777175784111023,1641.461181640625,0.8199848730445791
Quantile (uniform),KMeans,4,3,8,0.01,correlation,,,0.4551139175891876,1709.10400390625,0.8226325997410309
Quantile (uniform),GMM,5,3,8,0.01,correlation,36062.20154494934,35780.6328125,0.40337783098220825,1234.2991943359375,1.218870340322972
Quantile (uniform),KMeans,5,3,8,0.01,correlation,,,0.4222777783870697,1471.2635498046875,0.9510651071041567
Quantile (uniform),GMM,6,3,8,0.01,correlation,35510.86767657165,35171.8359375,0.4156230390071869,1396.1573486328125,0.8949405662807881
Quantile (uniform),KMeans,6,3,8,0.01,correlation,,,0.4443526268005371,1671.1640625,0.8136155779682964
Quantile (uniform),GMM,7,3,8,0.01,correlation,35288.37755819397,34891.8828125,0.4304010272026062,1471.0584716796875,0.9242950528005126
Quantile (uniform),KMeans,7,3,8,0.01,correlation,,,0.4295961260795593,1598.1375732421875,0.9315711760544223
Quantile (uniform),GMM,2,3,8,0.01,euclidean,38643.601587582394,38534.421875,0.3531041443347931,1370.8212890625,1.1687707508479388
Quantile (uniform),KMeans,2,3,8,0.01,euclidean,,,0.3689689040184021,1486.92138671875,1.158999197071452
Quantile (uniform),GMM,3,3,8,0.01,euclidean,38239.22084420471,38072.578125,0.4230002462863922,1759.865478515625,0.8816413784948903
Quantile (uniform),KMeans,3,3,8,0.01,euclidean,,,0.4241497814655304,1796.9376220703125,0.8692699994151024
Quantile (uniform),GMM,4,3,8,0.01,euclidean,36741.59791332702,36517.4921875,0.308377742767334,1214.19189453125,1.2849427602958956
Quantile (uniform),KMeans,4,3,8,0.01,euclidean,,,0.35495248436927795,1443.00341796875,1.0370382426074907
Quantile (uniform),GMM,5,3,8,0.01,euclidean,35815.28357619934,35533.71484375,0.34530436992645264,1383.6942138671875,1.0653081586659368
Quantile (uniform),KMeans,5,3,8,0.01,euclidean,,,0.3630121350288391,1613.077392578125,1.0260486498519334
Quantile (uniform),GMM,6,3,8,0.01,euclidean,35077.66064532165,34738.62890625,0.3632127046585083,1408.3353271484375,1.068654106198129
Quantile (uniform),KMeans,6,3,8,0.01,euclidean,,,0.3826223611831665,1556.0413818359375,1.0081384548537178
Quantile (uniform),GMM,7,3,8,0.01,euclidean,34188.74865194397,33792.25390625,0.43376219272613525,1494.3013916015625,0.9077999085302295
Quantile (uniform),KMeans,7,3,8,0.01,euclidean,,,0.44343942403793335,1598.3046875,0.8846916672619779
Quantile (uniform),GMM,2,3,8,0.1,correlation,38308.332056332394,38199.15234375,0.32991141080856323,1093.9066162109375,1.3632704821992176
Quantile (uniform),KMeans,2,3,8,0.1,correlation,,,0.32987698912620544,1094.1673583984375,1.3631211348592878
Quantile (uniform),GMM,3,3,8,0.1,correlation,37252.77943795471,37086.13671875,0.383200079202652,1315.15771484375,1.0454731998994133
Quantile (uniform),KMeans,3,3,8,0.1,correlation,,,0.3828992247581482,1323.40185546875,1.0462093295202775
Quantile (uniform),GMM,4,3,8,0.1,correlation,36538.40260082702,36314.296875,0.3869406282901764,1377.670166015625,0.8747293849577819
Quantile (uniform),KMeans,4,3,8,0.1,correlation,,,0.4050689935684204,1507.820068359375,0.8875505009262302
Quantile (uniform),GMM,5,3,8,0.1,correlation,35595.32263869934,35313.75390625,0.3348524570465088,1122.3629150390625,1.3175871769643535
Quantile (uniform),KMeans,5,3,8,0.1,correlation,,,0.4126844108104706,1534.9688720703125,0.8648113515151914
Quantile (uniform),GMM,6,3,8,0.1,correlation,34709.40283282165,34370.37109375,0.4081172049045563,1368.8414306640625,1.0040181968546043
Quantile (uniform),KMeans,6,3,8,0.1,correlation,,,0.4561746418476105,1789.0904541015625,0.8320254651835053
Quantile (uniform),GMM,7,3,8,0.1,correlation,34708.79162069397,34312.296875,0.336906760931015,1281.460693359375,1.2079344837490698
Quantile (uniform),KMeans,7,3,8,0.1,correlation,,,0.4141031801700592,1686.6663818359375,0.9318802207204424
Quantile (uniform),GMM,2,3,8,0.1,euclidean,38281.968775082394,38172.7890625,0.3445809483528137,1367.7333984375,1.177479302053029
Quantile (uniform),KMeans,2,3,8,0.1,euclidean,,,0.36222684383392334,1493.0115966796875,1.1713158672959638
Quantile (uniform),GMM,3,3,8,0.1,euclidean,37453.37709420471,37286.734375,0.40207168459892273,1606.0595703125,0.9536333222346277
Quantile (uniform),KMeans,3,3,8,0.1,euclidean,,,0.41115903854370117,1670.3529052734375,0.9198772661401073
Quantile (uniform),GMM,4,3,8,0.1,euclidean,37284.23853832702,37060.1328125,0.3285512924194336,1283.454833984375,1.208273147350512
Quantile (uniform),KMeans,4,3,8,0.1,euclidean,,,0.33677545189857483,1395.5533447265625,1.165333019372628
Quantile (uniform),GMM,5,3,8,0.1,euclidean,35906.28357619934,35624.71484375,0.3031931519508362,1121.0167236328125,1.24198249574401
Quantile (uniform),KMeans,5,3,8,0.1,euclidean,,,0.3218521177768707,1210.5262451171875,1.108034640920619
Quantile (uniform),GMM,6,3,8,0.1,euclidean,35295.02783282165,34955.99609375,0.4274224638938904,1506.8505859375,0.8112477553621084
Quantile (uniform),KMeans,6,3,8,0.1,euclidean,,,0.435571551322937,1546.5081787109375,0.8029745006860063
Quantile (uniform),GMM,7,3,8,0.1,euclidean,34540.01037069397,34143.515625,0.4091931879520416,1444.494140625,0.8533187409598983
Quantile (uniform),KMeans,7,3,8,0.1,euclidean,,,0.4403455853462219,1604.3863525390625,0.8458568131343915
Quantile (uniform),GMM,2,3,8,0.2,correlation,38167.148462582394,38057.96875,0.28360363841056824,873.8399047851562,1.231451905344947
Quantile (uniform),KMeans,2,3,8,0.2,correlation,,,0.2967859208583832,964.1047973632812,1.2553112457424007
Quantile (uniform),GMM,3,3,8,0.2,correlation,37197.91615670471,37031.2734375,0.3598042130470276,1281.0443115234375,1.0748258109574873
Quantile (uniform),KMeans,3,3,8,0.2,correlation,,,0.36149176955223083,1293.833984375,1.0681091582542672
Quantile (uniform),GMM,4,3,8,0.2,correlation,36442.09010082702,36217.984375,0.3582477569580078,1290.363037109375,1.0016328054894685
Quantile (uniform),KMeans,4,3,8,0.2,correlation,,,0.3917607069015503,1467.4014892578125,0.9421564537085831
Quantile (uniform),GMM,5,3,8,0.2,correlation,36326.28748244934,36044.71875,0.3660121262073517,1314.0885009765625,1.0237606889709097
Quantile (uniform),KMeans,5,3,8,0.2,correlation,,,0.37854212522506714,1408.9984130859375,0.9925235770928756
Quantile (uniform),GMM,6,3,8,0.2,correlation,35759.96142657165,35420.9296875,0.3202759325504303,1067.14208984375,1.0467261174037148
Quantile (uniform),KMeans,6,3,8,0.2,correlation,,,0.3831058442592621,1343.583740234375,0.9095037252496544
Quantile (uniform),GMM,7,3,8,0.2,correlation,35194.88537069397,34798.390625,0.3425711989402771,996.9840698242188,0.9438558157368501
Quantile (uniform),KMeans,7,3,8,0.2,correlation,,,0.3892083466053009,1247.8104248046875,0.8615736555711803
Quantile (uniform),GMM,2,3,8,0.2,euclidean,37537.398462582394,37428.21875,0.3632105588912964,1432.3072509765625,1.1900918840583838
