scaler,method,k,n_components,n_neighbors,min_dist,metric,min_cluster_size,min_samples,selection_method,bic,aic,silhouette,calinski_harabasz,davies_bouldin
Quantile (uniform),HDBSCAN,61,3,8,0.01,correlation,10,15,eom,,,-0.017734801396727562,120.09459686279297,5.484893958764035
Quantile (uniform),HDBSCAN,61,3,8,0.01,correlation,10,15,leaf,,,-0.017734801396727562,120.09459686279297,5.484893958764035
Quantile (uniform),HDBSCAN,46,3,8,0.01,correlation,10,20,eom,,,-0.025711767375469208,136.58645629882812,4.162207986845986
Quantile (uniform),HDBSCAN,48,3,8,0.01,correlation,10,20,leaf,,,-0.022526346147060394,130.99014282226562,4.430318542812423
Quantile (uniform),HDBSCAN,31,3,8,0.01,correlation,30,15,eom,,,0.0021872397046536207,193.89956665039062,4.441146078420485
Quantile (uniform),HDBSCAN,32,3,8,0.01,correlation,30,15,leaf,,,-0.006459377706050873,186.7664031982422,4.415970379617255
Quantile (uniform),HDBSCAN,31,3,8,0.01,correlation,30,20,eom,,,0.00714709609746933,201.3255615234375,4.346662185287953
Quantile (uniform),HDBSCAN,34,3,8,0.01,correlation,30,20,leaf,,,-0.002561692614108324,183.8212890625,4.3370931394968055
Quantile (uniform),HDBSCAN,70,3,8,0.01,euclidean,10,15,eom,,,0.7247707843780518,9082.7802734375,0.35136629517939477
Quantile (uniform),HDBSCAN,76,3,8,0.01,euclidean,10,15,leaf,,,0.7596004605293274,10800.013671875,0.3190590216215826
Quantile (uniform),HDBSCAN,36,3,8,0.01,euclidean,10,20,eom,,,0.6316555142402649,2751.56201171875,0.42371866428118576
Quantile (uniform),HDBSCAN,49,3,8,0.01,euclidean,10,20,leaf,,,0.7249748110771179,8236.3828125,0.37923839211907745
Quantile (uniform),HDBSCAN,27,3,8,0.01,euclidean,30,15,eom,,,0.546096920967102,2026.8929443359375,0.5699964414274542
Quantile (uniform),HDBSCAN,32,3,8,0.01,euclidean,30,15,leaf,,,0.5724151730537415,3979.454833984375,0.5642429539409763
Quantile (uniform),HDBSCAN,19,3,8,0.01,euclidean,30,20,eom,,,0.5295434594154358,2423.484375,0.6091540076876544
Quantile (uniform),HDBSCAN,28,3,8,0.01,euclidean,30,20,leaf,,,0.5908759832382202,3138.0263671875,0.5229779262853683
Quantile (uniform),HDBSCAN,50,3,8,0.1,correlation,10,15,eom,,,-0.04108136147260666,131.82391357421875,4.7880137311073545
Quantile (uniform),HDBSCAN,54,3,8,0.1,correlation,10,15,leaf,,,-0.036729343235492706,124.15924835205078,4.63995063700845
Quantile (uniform),HDBSCAN,40,3,8,0.1,correlation,10,20,eom,,,-0.026494476944208145,142.18603515625,4.360881517470443
Quantile (uniform),HDBSCAN,43,3,8,0.1,correlation,10,20,leaf,,,-0.01898852549493313,124.71797180175781,4.421692337149561
Quantile (uniform),HDBSCAN,28,3,8,0.1,correlation,30,15,eom,,,0.004848501179367304,201.4460906982422,3.6397244735425076
Quantile (uniform),HDBSCAN,28,3,8,0.1,correlation,30,15,leaf,,,0.004848501179367304,201.4460906982422,3.6397244735425076
Quantile (uniform),HDBSCAN,27,3,8,0.1,correlation,30,20,eom,,,0.04147564619779587,187.24269104003906,3.9348095512112584
Quantile (uniform),HDBSCAN,27,3,8,0.1,correlation,30,20,leaf,,,0.04147564619779587,187.24269104003906,3.9348095512112584
Quantile (uniform),HDBSCAN,51,3,8,0.1,euclidean,10,15,eom,,,0.5966472625732422,2177.497802734375,0.4327005570496572
Quantile (uniform),HDBSCAN,72,3,8,0.1,euclidean,10,15,leaf,,,0.7207009792327881,6843.46337890625,0.36982124553886964
Quantile (uniform),HDBSCAN,31,3,8,0.1,euclidean,10,20,eom,,,0.5535288453102112,1888.199462890625,0.48444182147905446
Quantile (uniform),HDBSCAN,44,3,8,0.1,euclidean,10,20,leaf,,,0.6800991296768188,3195.35888671875,0.4277602024208598
Quantile (uniform),HDBSCAN,16,3,8,0.1,euclidean,30,15,eom,,,0.4928690791130066,1664.3704833984375,0.6708544047003757
Quantile (uniform),HDBSCAN,26,3,8,0.1,euclidean,30,15,leaf,,,0.5334944128990173,2466.443359375,0.6508467216383108
Quantile (uniform),HDBSCAN,14,3,8,0.1,euclidean,30,20,eom,,,0.4911947548389435,1794.4635009765625,0.6507261558471359
Quantile (uniform),HDBSCAN,24,3,8,0.1,euclidean,30,20,leaf,,,0.5666025876998901,2571.615234375,0.6286974338930987
Quantile (uniform),HDBSCAN,46,3,8,0.2,correlation,10,15,eom,,,-0.024900447577238083,130.49050903320312,4.692913727717345
Quantile (uniform),HDBSCAN,50,3,8,0.2,correlation,10,15,leaf,,,-0.01722070202231407,117.39822387695312,4.87038942270284
Quantile (uniform),HDBSCAN,35,3,8,0.2,correlation,10,20,eom,,,-0.02329680323600769,164.40533447265625,3.9306654929037554
Quantile (uniform),HDBSCAN,39,3,8,0.2,correlation,10,20,leaf,,,-0.040522027760744095,133.2066192626953,3.9760111852535815
Quantile (uniform),HDBSCAN,28,3,8,0.2,correlation,30,15,eom,,,0.023301124572753906,197.3787841796875,4.0269052908340095
Quantile (uniform),HDBSCAN,30,3,8,0.2,correlation,30,15,leaf,,,0.012441018596291542,183.63352966308594,4.366221528369434
Quantile (uniform),HDBSCAN,26,3,8,0.2,correlation,30,20,eom,,,0.0152772581204772,203.8583984375,4.449210131844509
Quantile (uniform),HDBSCAN,26,3,8,0.2,correlation,30,20,leaf,,,0.0152772581204772,203.8583984375,4.449210131844509
Quantile (uniform),HDBSCAN,50,3,8,0.2,euclidean,10,15,eom,,,0.5763707756996155,1374.3951416015625,0.4520607852897715
Quantile (uniform),HDBSCAN,66,3,8,0.2,euclidean,10,15,leaf,,,0.6889158487319946,3940.400146484375,0.42519641875323
Quantile (uniform),HDBSCAN,28,3,8,0.2,euclidean,10,20,eom,,,0.5037910342216492,1317.40625,0.5376684930357623
Quantile (uniform),HDBSCAN,40,3,8,0.2,euclidean,10,20,leaf,,,0.6473535895347595,2135.080322265625,0.4447535954876459
Quantile (uniform),HDBSCAN,21,3,8,0.2,euclidean,30,15,eom,,,0.48420748114585876,1492.775634765625,0.6450671395224997
Quantile (uniform),HDBSCAN,25,3,8,0.2,euclidean,30,15,leaf,,,0.5146083235740662,1703.2696533203125,0.6483109729608045
Quantile (uniform),HDBSCAN,16,3,8,0.2,euclidean,30,20,eom,,,0.4481881558895111,1549.21435546875,0.7324953916585111
Quantile (uniform),HDBSCAN,19,3,8,0.2,euclidean,30,20,leaf,,,0.44304347038269043,1410.5499267578125,0.7207576341270028
Quantile (uniform),HDBSCAN,51,3,15,0.01,correlation,10,15,eom,,,-0.03556950390338898,182.01119995117188,4.315270433287498
Quantile (uniform),HDBSCAN,53,3,15,0.01,correlation,10,15,leaf,,,-0.035365037620067596,164.268310546875,4.33221294873072
Quantile (uniform),HDBSCAN,43,3,15,0.01,correlation,10,20,eom,,,0.01343903224915266,208.11199951171875,4.4571436928249115
Quantile (uniform),HDBSCAN,44,3,15,0.01,correlation,10,20,leaf,,,0.011624272912740707,197.98240661621094,4.359714875166189
Quantile (uniform),HDBSCAN,29,3,15,0.01,correlation,30,15,eom,,,0.043701350688934326,313.31671142578125,4.765438938440371
Quantile (uniform),HDBSCAN,32,3,15,0.01,correlation,30,15,leaf,,,0.020563727244734764,268.92938232421875,5.097341208651346
Quantile (uniform),HDBSCAN,28,3,15,0.01,correlation,30,20,eom,,,0.04117899760603905,326.45013427734375,4.447518603258479
