iteration,scaler,n_features,features,n_clusters,silhouette,calinski_harabasz,davies_bouldin
15,Standard,7,"['rsi_diff_qqq_spy', 'commod_momentum_slope', 'commod_trend_strength', 'eq_idx_macd_diff_mean', 'sector_ma_ratio_spread', 'usd_vs_fxe_fxy_trend', 'macd_diff_lqd_spy']",3,0.5758144855499268,3814.99755859375,0.6325641104617685
90,Standard,9,"['glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'commod_momentum_slope', 'sector_ma_ratio_spread', 'glob_eq_vol_skew']",3,0.5687496662139893,3453.57080078125,0.6080324976051524
197,Standard,5,"['sector_ma_ratio_spread', 'sector_momentum_dispersion', 'commod_momentum_slope', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend']",3,0.551491379737854,3322.406982421875,0.5948430113452241
55,Robust,6,"['eq_idx_macd_diff_mean', 'macd_diff_lqd_spy', 'sector_momentum_dispersion', 'commod_trend_strength', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend']",3,0.5486284494400024,3359.364990234375,0.6277554068163381
141,Standard,7,"['sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'glob_eq_rsi_mean', 'sector_momentum_dispersion', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'glob_eq_vol_skew']",3,0.5448330044746399,2831.524169921875,0.675221561567111
22,Standard,10,"['sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'usd_vs_fxe_fxy_trend', 'rsi_diff_qqq_spy', 'commod_trend_strength', 'glob_eq_vol_skew', 'glob_eq_ret20d_std', 'sector_momentum_dispersion', 'eq_idx_ret5d_mean', 'eq_idx_macd_diff_mean']",3,0.5290274024009705,2951.35888671875,0.7485430678758096
25,Standard,5,"['commod_momentum_slope', 'sector_ma_ratio_spread', 'glob_eq_vol_skew', 'macd_diff_lqd_spy', 'eq_idx_macd_diff_mean']",4,0.5267394781112671,2611.53125,0.7333621533571107
51,Standard,5,"['macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'sector_ma_ratio_spread', 'commod_momentum_slope']",3,0.5136387944221497,2763.586669921875,0.655983308472955
64,Robust,9,"['eq_idx_macd_diff_mean', 'commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'sector_momentum_dispersion', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'glob_eq_ret20d_std', 'eq_idx_ret5d_mean', 'commod_momentum_slope']",4,0.5102323293685913,2374.834716796875,0.7116243706373193
19,Robust,5,"['commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'sector_ma_ratio_spread', 'glob_eq_rsi_mean']",4,0.507525622844696,3491.85986328125,0.7723021997772164
56,Standard,5,"['usd_vs_fxe_fxy_trend', 'glob_eq_rsi_mean', 'sector_momentum_dispersion', 'eq_idx_ret5d_mean', 'sector_ma_ratio_spread']",4,0.5055736899375916,3652.814697265625,0.6779353291973532
91,Standard,6,"['sector_momentum_dispersion', 'glob_eq_vol_skew', 'usd_vs_fxe_fxy_trend', 'commod_momentum_slope', 'eq_idx_ret5d_mean', 'sector_ma_ratio_spread']",3,0.5007649064064026,2815.648681640625,0.7502620972360371
19,Standard,5,"['commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'sector_ma_ratio_spread', 'glob_eq_rsi_mean']",4,0.49716082215309143,4163.54638671875,0.7881837766362683
118,Standard,9,"['usd_vs_fxe_fxy_trend', 'eq_idx_ret5d_mean', 'eq_idx_macd_diff_mean', 'commod_trend_strength', 'sector_ma_ratio_spread', 'glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'sector_momentum_dispersion', 'glob_eq_vol_skew']",3,0.49633318185806274,3217.590087890625,0.7987680467071178
186,Robust,5,"['commod_trend_strength', 'commod_momentum_slope', 'rsi_diff_qqq_spy', 'sector_momentum_dispersion', 'usd_vs_fxe_fxy_trend']",3,0.4958535134792328,3382.416748046875,0.8332720549197811
139,Robust,7,"['usd_vs_fxe_fxy_trend', 'sector_momentum_dispersion', 'rsi_diff_qqq_spy', 'eq_idx_ret5d_mean', 'sector_ma_ratio_spread', 'commod_trend_strength', 'macd_diff_lqd_spy']",4,0.49420779943466187,2501.373046875,0.7577915187493981
154,Standard,6,"['sector_ma_ratio_spread', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'usd_vs_fxe_fxy_trend', 'macd_diff_lqd_spy', 'glob_eq_vol_skew']",3,0.49362626671791077,2257.56396484375,0.7714016934165947
