,features,metric_umap,n_neig_umap,min_d_umap,silhouette,calinski_harabasz,davies_bouldin,cluster_distribution
0,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",euclidean,10,0.01,0.36095643043518066,155.97341918945312,0.6450757870395873,"(np.float64(0.9351851851851852), np.float64(0.06481481481481481))"
1,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",manhattan,10,0.01,0.480812132358551,607.3656616210938,0.8112814093001611,"(np.float64(0.7164351851851852), np.float64(0.2835648148148148))"
2,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",correlation,10,0.01,0.25981640815734863,219.01670837402344,1.0674467640100385,"(np.float64(0.17476851851851852), np.float64(0.8252314814814815))"
3,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",euclidean,10,0.1,0.5028077363967896,71.40741729736328,0.35319655004143385,"(np.float64(0.9884259259259259), np.float64(0.011574074074074073))"
4,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",manhattan,10,0.1,0.4025283455848694,165.51844787597656,0.5140167722597484,"(np.float64(0.9513888888888888), np.float64(0.04861111111111111))"
5,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",correlation,10,0.1,0.35850968956947327,468.1362609863281,1.114613562556799,"(np.float64(0.7048611111111112), np.float64(0.2951388888888889))"
6,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",euclidean,10,0.2,0.4892546236515045,65.96031188964844,0.3713968582650535,"(np.float64(0.9884259259259259), np.float64(0.011574074074074073))"
7,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",manhattan,10,0.2,0.48234254121780396,228.25253295898438,0.44454513198572987,"(np.float64(0.9513888888888888), np.float64(0.04861111111111111))"
8,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",correlation,10,0.2,0.3171533942222595,374.518798828125,1.2737828806893525,"(np.float64(0.30092592592592593), np.float64(0.6990740740740741))"
9,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",euclidean,20,0.01,0.4065067172050476,177.6481170654297,0.49462172171900554,"(np.float64(0.9513888888888888), np.float64(0.04861111111111111))"
10,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",manhattan,20,0.01,0.4183218479156494,151.17361450195312,0.5230507674941851,"(np.float64(0.9513888888888888), np.float64(0.04861111111111111))"
11,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",correlation,20,0.01,0.35975906252861023,482.09381103515625,1.0950228278646503,"(np.float64(0.30439814814814814), np.float64(0.6956018518518519))"
12,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",euclidean,20,0.1,0.3560629189014435,141.94007873535156,0.5628032934703623,"(np.float64(0.9513888888888888), np.float64(0.04861111111111111))"
13,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",manhattan,20,0.1,0.3648199141025543,140.7585906982422,0.5544635519127523,"(np.float64(0.9513888888888888), np.float64(0.04861111111111111))"
14,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",correlation,20,0.1,0.31136763095855713,389.6423034667969,1.394200028314805,"(np.float64(0.39351851851851855), np.float64(0.6064814814814815))"
15,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",euclidean,20,0.2,0.3760557472705841,141.45140075683594,0.5778889154640507,"(np.float64(0.9513888888888888), np.float64(0.04861111111111111))"
16,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",manhattan,20,0.2,0.27180215716362,28.873046875,0.5610086588884915,"(np.float64(0.9884259259259259), np.float64(0.011574074074074073))"
17,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",correlation,20,0.2,0.2841865122318268,369.84796142578125,1.2950090163529409,"(np.float64(0.3136574074074074), np.float64(0.6863425925925926))"
18,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",euclidean,40,0.01,0.32482096552848816,117.98082733154297,0.6005279237254125,"(np.float64(0.9513888888888888), np.float64(0.04861111111111111))"
19,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",manhattan,40,0.01,0.39556804299354553,149.07655334472656,0.5334005038755429,"(np.float64(0.9513888888888888), np.float64(0.04861111111111111))"
20,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'trend_consistency']",correlation,40,0.01,0.3304833173751831,356.1925354003906,0.9895273892593066,"(np.float64(0.2199074074074074), np.float64(0.7800925925925926))"
